Date and Time,Date,Time,Activity,Duration
2018-03-05 09:55:00,2018-03-05,09:55:00,Sleep,70.0
2018-03-05 12:28:00,2018-03-05,12:28:00,Sleep,37.0
2018-03-05 17:20:00,2018-03-05,17:20:00,Sleep,25.0
2018-03-05 19:45:00,2018-03-05,19:45:00,Sleep,365.0
2018-03-06 02:15:00,2018-03-06,02:15:00,Sleep,197.0
2018-03-06 11:36:00,2018-03-06,11:36:00,Sleep,31.0
2018-03-06 14:36:00,2018-03-06,14:36:00,Sleep,40.0
2018-03-06 16:01:00,2018-03-06,16:01:00,Sleep,184.0
2018-03-06 19:55:00,2018-03-06,19:55:00,Sleep,179.0
2018-03-06 23:18:00,2018-03-06,23:18:00,Sleep,146.0
2018-03-07 02:02:00,2018-03-07,02:02:00,Sleep,189.0
2018-03-07 07:14:00,2018-03-07,07:14:00,Sleep,116.0
2018-03-07 12:40:00,2018-03-07,12:40:00,Sleep,44.0
2018-03-07 14:58:00,2018-03-07,14:58:00,Sleep,40.0
2018-03-07 17:56:00,2018-03-07,17:56:00,Sleep,240.0
2018-03-07 22:11:00,2018-03-07,22:11:00,Sleep,206.0
2018-03-08 02:05:00,2018-03-08,02:05:00,Sleep,144.0
2018-03-08 04:35:00,2018-03-08,04:35:00,Sleep,45.0
2018-03-08 08:35:00,2018-03-08,08:35:00,Sleep,23.0
2018-03-08 12:34:00,2018-03-08,12:34:00,Sleep,181.0
2018-03-08 19:15:00,2018-03-08,19:15:00,Sleep,233.0
2018-03-08 23:30:00,2018-03-08,23:30:00,Sleep,120.0
2018-03-09 01:44:00,2018-03-09,01:44:00,Sleep,72.0
2018-03-09 03:29:00,2018-03-09,03:29:00,Sleep,76.0
2018-03-09 05:08:00,2018-03-09,05:08:00,Sleep,51.0
2018-03-09 09:04:00,2018-03-09,09:04:00,Sleep,51.0
2018-03-09 12:33:00,2018-03-09,12:33:00,Sleep,129.0
2018-03-09 18:31:00,2018-03-09,18:31:00,Sleep,389.0
2018-03-10 01:19:00,2018-03-10,01:19:00,Sleep,167.0
2018-03-10 07:04:00,2018-03-10,07:04:00,Sleep,219.0
2018-03-10 13:49:00,2018-03-10,13:49:00,Sleep,36.0
2018-03-10 18:20:00,2018-03-10,18:20:00,Sleep,166.0
2018-03-10 21:21:00,2018-03-10,21:21:00,Sleep,195.0
2018-03-11 00:58:00,2018-03-11,00:58:00,Sleep,75.0
2018-03-11 02:26:00,2018-03-11,02:26:00,Sleep,74.0
2018-03-11 05:43:00,2018-03-11,05:43:00,Sleep,54.0
2018-03-11 12:47:00,2018-03-11,12:47:00,Sleep,36.0
2018-03-11 15:33:00,2018-03-11,15:33:00,Sleep,58.0
2018-03-11 19:47:00,2018-03-11,19:47:00,Sleep,347.0
2018-03-12 02:01:00,2018-03-12,02:01:00,Sleep,119.0
2018-03-12 04:37:00,2018-03-12,04:37:00,Sleep,61.0
2018-03-12 05:48:00,2018-03-12,05:48:00,Sleep,49.0
2018-03-12 11:12:00,2018-03-12,11:12:00,Sleep,28.0
2018-03-12 13:49:00,2018-03-12,13:49:00,Sleep,156.0
2018-03-12 19:00:00,2018-03-12,19:00:00,Sleep,290.0
2018-03-13 00:15:00,2018-03-13,00:15:00,Sleep,151.0
2018-03-13 03:03:00,2018-03-13,03:03:00,Sleep,70.0
2018-03-13 04:26:00,2018-03-13,04:26:00,Sleep,75.0
2018-03-13 06:10:00,2018-03-13,06:10:00,Sleep,105.0
2018-03-13 12:30:00,2018-03-13,12:30:00,Sleep,31.0
2018-03-13 14:52:00,2018-03-13,14:52:00,Sleep,32.0
2018-03-13 18:05:00,2018-03-13,18:05:00,Sleep,30.0
2018-03-13 19:27:00,2018-03-13,19:27:00,Sleep,333.0
2018-03-14 01:27:00,2018-03-14,01:27:00,Sleep,194.0
2018-03-14 05:01:00,2018-03-14,05:01:00,Sleep,80.0
2018-03-14 08:46:00,2018-03-14,08:46:00,Sleep,59.0
2018-03-14 13:00:00,2018-03-14,13:00:00,Sleep,117.0
2018-03-14 18:45:00,2018-03-14,18:45:00,Sleep,387.0
2018-03-15 02:17:00,2018-03-15,02:17:00,Sleep,218.0
2018-03-15 09:10:00,2018-03-15,09:10:00,Sleep,30.0
2018-03-15 15:38:00,2018-03-15,15:38:00,Sleep,66.0
2018-03-15 19:11:00,2018-03-15,19:11:00,Sleep,417.0
2018-03-16 02:45:00,2018-03-16,02:45:00,Sleep,69.0
2018-03-16 04:04:00,2018-03-16,04:04:00,Sleep,116.0
2018-03-16 08:55:00,2018-03-16,08:55:00,Sleep,35.0
2018-03-16 11:48:00,2018-03-16,11:48:00,Sleep,31.0
2018-03-16 15:10:00,2018-03-16,15:10:00,Sleep,91.0
2018-03-16 19:47:00,2018-03-16,19:47:00,Sleep,437.0
2018-03-17 03:30:00,2018-03-17,03:30:00,Sleep,68.0
2018-03-17 05:20:00,2018-03-17,05:20:00,Sleep,190.0
2018-03-17 10:30:00,2018-03-17,10:30:00,Sleep,16.0
2018-03-17 14:24:00,2018-03-17,14:24:00,Sleep,77.0
2018-03-17 19:00:00,2018-03-17,19:00:00,Sleep,275.0
2018-03-17 23:57:00,2018-03-17,23:57:00,Sleep,124.0
2018-03-18 02:24:00,2018-03-18,02:24:00,Sleep,116.0
2018-03-18 04:40:00,2018-03-18,04:40:00,Sleep,115.0
2018-03-18 08:39:00,2018-03-18,08:39:00,Sleep,51.0
2018-03-18 12:58:00,2018-03-18,12:58:00,Sleep,133.0
2018-03-18 18:36:00,2018-03-18,18:36:00,Sleep,286.0
2018-03-18 23:50:00,2018-03-18,23:50:00,Sleep,86.0
2018-03-19 01:30:00,2018-03-19,01:30:00,Sleep,104.0
2018-03-19 10:16:00,2018-03-19,10:16:00,Sleep,154.0
2018-03-19 18:05:00,2018-03-19,18:05:00,Sleep,33.0
2018-03-19 19:11:00,2018-03-19,19:11:00,Sleep,208.0
2018-03-19 23:10:00,2018-03-19,23:10:00,Sleep,214.0
2018-03-20 02:55:00,2018-03-20,02:55:00,Sleep,75.0
2018-03-20 04:20:00,2018-03-20,04:20:00,Sleep,73.0
2018-03-20 08:33:00,2018-03-20,08:33:00,Sleep,43.0
2018-03-20 11:56:00,2018-03-20,11:56:00,Sleep,91.0
2018-03-20 17:09:00,2018-03-20,17:09:00,Sleep,41.0
2018-03-20 19:13:00,2018-03-20,19:13:00,Sleep,262.0
2018-03-20 23:59:00,2018-03-20,23:59:00,Sleep,199.0
2018-03-21 03:40:00,2018-03-21,03:40:00,Sleep,150.0
2018-03-21 08:45:00,2018-03-21,08:45:00,Sleep,55.0
2018-03-21 15:18:00,2018-03-21,15:18:00,Sleep,16.0
2018-03-21 18:50:00,2018-03-21,18:50:00,Sleep,324.0
2018-03-22 00:36:00,2018-03-22,00:36:00,Sleep,195.0
2018-03-22 04:09:00,2018-03-22,04:09:00,Sleep,82.0
2018-03-22 10:35:00,2018-03-22,10:35:00,Sleep,35.0
2018-03-22 15:34:00,2018-03-22,15:34:00,Sleep,36.0
2018-03-22 19:33:00,2018-03-22,19:33:00,Sleep,289.0
2018-03-23 00:42:00,2018-03-23,00:42:00,Sleep,80.0
2018-03-23 02:22:00,2018-03-23,02:22:00,Sleep,50.0
2018-03-23 03:30:00,2018-03-23,03:30:00,Sleep,220.0
2018-03-23 09:24:00,2018-03-23,09:24:00,Sleep,28.0
2018-03-23 12:11:00,2018-03-23,12:11:00,Sleep,174.0
2018-03-23 17:37:00,2018-03-23,17:37:00,Sleep,20.0
2018-03-23 20:18:00,2018-03-23,20:18:00,Sleep,285.0
2018-03-24 01:38:00,2018-03-24,01:38:00,Sleep,127.0
2018-03-24 04:07:00,2018-03-24,04:07:00,Sleep,66.0
2018-03-24 05:36:00,2018-03-24,05:36:00,Sleep,99.0
2018-03-24 09:25:00,2018-03-24,09:25:00,Sleep,34.0
2018-03-24 12:33:00,2018-03-24,12:33:00,Sleep,31.0
2018-03-24 15:26:00,2018-03-24,15:26:00,Sleep,100.0
2018-03-24 20:09:00,2018-03-24,20:09:00,Sleep,207.0
2018-03-25 00:05:00,2018-03-25,00:05:00,Sleep,156.0
2018-03-25 03:01:00,2018-03-25,03:01:00,Sleep,89.0
2018-03-25 04:41:00,2018-03-25,04:41:00,Sleep,100.0
2018-03-25 09:20:00,2018-03-25,09:20:00,Sleep,29.0
2018-03-25 13:05:00,2018-03-25,13:05:00,Sleep,172.0
2018-03-25 18:55:00,2018-03-25,18:55:00,Sleep,338.0
2018-03-26 01:03:00,2018-03-26,01:03:00,Sleep,121.0
2018-03-26 03:19:00,2018-03-26,03:19:00,Sleep,155.0
2018-03-26 07:49:00,2018-03-26,07:49:00,Sleep,93.0
2018-03-26 11:51:00,2018-03-26,11:51:00,Sleep,52.0
2018-03-26 14:51:00,2018-03-26,14:51:00,Sleep,54.0
