Date and Time,Date,Time,Activity,Duration,Radial,Minutes
2017-09-25 22:30:00,2017-09-25,22:30:00,Sleep,220.0,7,1350
2017-09-26 03:17:00,2017-09-26,03:17:00,Sleep,197.0,8,197
2017-09-26 08:00:00,2017-09-26,08:00:00,Sleep,86.0,8,480
2017-09-26 10:20:00,2017-09-26,10:20:00,Sleep,206.0,8,620
2017-09-26 15:15:00,2017-09-26,15:15:00,Sleep,60.0,8,915
2017-09-26 17:30:00,2017-09-26,17:30:00,Sleep,219.0,8,1050
2017-09-26 22:30:00,2017-09-26,22:30:00,Sleep,174.0,8,1350
2017-09-27 02:20:00,2017-09-27,02:20:00,Sleep,98.0,9,140
2017-09-27 07:15:00,2017-09-27,07:15:00,Sleep,61.0,9,435
2017-09-27 09:40:00,2017-09-27,09:40:00,Sleep,71.0,9,580
2017-09-27 11:40:00,2017-09-27,11:40:00,Sleep,114.0,9,700
2017-09-27 14:15:00,2017-09-27,14:15:00,Sleep,98.0,9,855
2017-09-27 16:45:00,2017-09-27,16:45:00,Sleep,253.0,9,1005
2017-09-27 22:35:00,2017-09-27,22:35:00,Sleep,120.0,9,1355
2017-09-28 01:52:00,2017-09-28,01:52:00,Sleep,82.0,10,112
2017-09-28 04:45:00,2017-09-28,04:45:00,Sleep,150.0,10,285
2017-09-28 08:15:00,2017-09-28,08:15:00,Sleep,161.0,10,495
2017-09-28 13:25:00,2017-09-28,13:25:00,Sleep,224.0,10,805
2017-09-28 19:05:00,2017-09-28,19:05:00,Sleep,253.0,10,1145
2017-09-29 00:15:00,2017-09-29,00:15:00,Sleep,236.0,11,15
2017-09-29 05:11:00,2017-09-29,05:11:00,Sleep,154.0,11,311
2017-09-29 08:55:00,2017-09-29,08:55:00,Sleep,185.0,11,535
2017-09-29 14:34:00,2017-09-29,14:34:00,Sleep,250.0,11,874
2017-09-29 21:55:00,2017-09-29,21:55:00,Sleep,227.0,11,1315
2017-09-30 03:30:00,2017-09-30,03:30:00,Sleep,142.0,12,210
2017-09-30 08:55:00,2017-09-30,08:55:00,Sleep,133.0,12,535
2017-09-30 12:00:00,2017-09-30,12:00:00,Sleep,240.0,12,720
