Date and Time,Date,Time,Activity,Duration,Radial,Minutes
2015-05-03 17:00:00,2015-05-02,17:00:00,Sleep,3.0,107,1020
2015-05-03 20:25:00,2015-05-02,20:25:00,Sleep,250.0,107,1225
2015-05-04 01:11:00,2015-05-03,01:11:00,Sleep,369.0,108,71
2015-05-04 09:47:00,2015-05-03,09:47:00,Sleep,46.0,108,587
2015-05-04 12:16:00,2015-05-03,12:16:00,Sleep,27.0,108,736
2015-05-04 14:36:00,2015-05-03,14:36:00,Sleep,83.0,108,876
2015-05-04 19:33:00,2015-05-03,19:33:00,Sleep,531.0,108,1173
2015-05-05 05:00:00,2015-05-04,05:00:00,Sleep,190.0,109,300
2015-05-05 10:02:00,2015-05-04,10:02:00,Sleep,38.0,109,602
2015-05-05 12:36:00,2015-05-04,12:36:00,Sleep,105.0,109,756
2015-05-05 16:52:00,2015-05-04,16:52:00,Sleep,32.0,109,1012
2015-05-05 19:40:00,2015-05-04,19:40:00,Sleep,54.0,109,1180
2015-05-05 21:12:00,2015-05-04,21:12:00,Sleep,345.0,109,1272
2015-05-06 03:30:00,2015-05-05,03:30:00,Sleep,110.0,110,210
2015-05-06 05:50:00,2015-05-05,05:50:00,Sleep,98.0,110,350
2015-05-06 10:00:00,2015-05-05,10:00:00,Sleep,40.0,110,600
2015-05-06 13:05:00,2015-05-05,13:05:00,Sleep,44.0,110,785
2015-05-06 15:14:00,2015-05-05,15:14:00,Sleep,27.0,110,914
2015-05-06 20:39:00,2015-05-05,20:39:00,Sleep,141.0,110,1239
2015-05-06 23:13:00,2015-05-05,23:13:00,Sleep,488.0,110,1393
2015-05-07 09:17:00,2015-05-06,09:17:00,Sleep,33.0,111,557
2015-05-07 12:09:00,2015-05-06,12:09:00,Sleep,46.0,111,729
2015-05-07 15:10:00,2015-05-06,15:10:00,Sleep,28.0,111,910
2015-05-07 19:25:00,2015-05-06,19:25:00,Sleep,411.0,111,1165
2015-05-08 02:47:00,2015-05-07,02:47:00,Sleep,177.0,112,167
2015-05-08 06:30:00,2015-05-07,06:30:00,Sleep,100.0,112,390
2015-05-08 10:14:00,2015-05-07,10:14:00,Sleep,66.0,112,614
2015-05-08 13:23:00,2015-05-07,13:23:00,Sleep,38.0,112,803
2015-05-08 16:22:00,2015-05-07,16:22:00,Sleep,23.0,112,982
2015-05-08 17:50:00,2015-05-07,17:50:00,Sleep,23.0,112,1070
2015-05-08 20:55:00,2015-05-07,20:55:00,Sleep,34.0,112,1255
2015-05-08 21:47:00,2015-05-07,21:47:00,Sleep,501.0,112,1307
2015-05-09 06:40:00,2015-05-08,06:40:00,Sleep,57.0,113,400
2015-05-09 09:57:00,2015-05-08,09:57:00,Sleep,55.0,113,597
2015-05-09 13:30:00,2015-05-08,13:30:00,Sleep,37.0,113,810
2015-05-09 15:25:00,2015-05-08,15:25:00,Sleep,33.0,113,925
2015-05-09 19:33:00,2015-05-08,19:33:00,Sleep,283.0,113,1173
2015-05-10 00:51:00,2015-05-09,00:51:00,Sleep,175.0,114,51
2015-05-10 04:06:00,2015-05-09,04:06:00,Sleep,211.0,114,246
2015-05-10 10:13:00,2015-05-09,10:13:00,Sleep,32.0,114,613
2015-05-10 13:37:00,2015-05-09,13:37:00,Sleep,32.0,114,817
2015-05-10 15:22:00,2015-05-09,15:22:00,Sleep,66.0,114,922
2015-05-10 19:58:00,2015-05-09,19:58:00,Sleep,253.0,114,1198
2015-05-11 00:48:00,2015-05-10,00:48:00,Sleep,121.0,115,48
2015-05-11 03:19:00,2015-05-10,03:19:00,Sleep,212.0,115,199
2015-05-11 09:28:00,2015-05-10,09:28:00,Sleep,32.0,115,568
2015-05-11 12:24:00,2015-05-10,12:24:00,Sleep,47.0,115,744
2015-05-11 15:18:00,2015-05-10,15:18:00,Sleep,56.0,115,918
2015-05-11 19:15:00,2015-05-10,19:15:00,Sleep,457.0,115,1155
