,Date,Time,Finish,Duration
2018-09-18 23:08:00,2018-09-18,23:08:00,2018-09-19 01:56:00,168.0
2018-09-19 03:03:00,2018-09-19,03:03:00,2018-09-19 06:26:00,203.0
2018-09-19 10:45:00,2018-09-19,10:45:00,2018-09-19 12:15:00,90.0
2018-09-19 18:11:00,2018-09-19,18:11:00,2018-09-19 19:37:00,86.0
2018-09-19 19:44:00,2018-09-19,19:44:00,2018-09-19 22:30:00,166.0
2018-09-19 22:51:00,2018-09-19,22:51:00,2018-09-20 07:05:00,494.0
2018-09-20 09:46:00,2018-09-20,09:46:00,2018-09-20 10:15:00,29.0
2018-09-20 14:02:00,2018-09-20,14:02:00,2018-09-20 14:32:00,30.0
2018-09-20 18:50:00,2018-09-20,18:50:00,2018-09-20 22:37:00,227.0
2018-09-20 22:56:00,2018-09-20,22:56:00,2018-09-21 02:43:00,227.0
2018-09-21 03:00:00,2018-09-21,03:00:00,2018-09-21 05:08:00,128.0
2018-09-21 05:22:00,2018-09-21,05:22:00,2018-09-21 07:05:00,103.0
2018-09-21 10:30:00,2018-09-21,10:30:00,2018-09-21 11:00:00,30.0
2018-09-21 15:30:00,2018-09-21,15:30:00,2018-09-21 16:05:00,35.0
2018-09-21 19:01:00,2018-09-21,19:01:00,2018-09-21 19:20:00,19.0
2018-09-21 19:26:00,2018-09-21,19:26:00,2018-09-21 21:10:00,104.0
2018-09-21 21:22:00,2018-09-21,21:22:00,2018-09-22 03:35:00,373.0
2018-09-22 03:51:00,2018-09-22,03:51:00,2018-09-22 05:50:00,119.0
2018-09-22 11:09:00,2018-09-22,11:09:00,2018-09-22 14:45:00,216.0
2018-09-22 18:52:00,2018-09-22,18:52:00,2018-09-22 22:16:00,204.0
2018-09-22 22:25:00,2018-09-22,22:25:00,2018-09-23 00:12:00,107.0
2018-09-23 00:28:00,2018-09-23,00:28:00,2018-09-23 00:32:00,4.0
2018-09-23 02:10:00,2018-09-23,02:10:00,2018-09-23 06:35:00,265.0
2018-09-23 12:23:00,2018-09-23,12:23:00,2018-09-23 14:12:00,109.0
2018-09-23 18:59:00,2018-09-23,18:59:00,2018-09-23 23:32:00,273.0
2018-09-23 23:43:00,2018-09-23,23:43:00,2018-09-24 03:20:00,217.0
2018-09-24 04:37:00,2018-09-24,04:37:00,2018-09-24 07:31:00,174.0
2018-09-24 11:45:00,2018-09-24,11:45:00,2018-09-24 13:44:00,119.0
2018-09-24 18:48:00,2018-09-24,18:48:00,2018-09-24 21:29:00,161.0
2018-09-24 21:41:00,2018-09-24,21:41:00,2018-09-25 01:03:00,202.0
2018-09-25 01:24:00,2018-09-25,01:24:00,2018-09-25 03:10:00,106.0
2018-09-25 03:29:00,2018-09-25,03:29:00,2018-09-25 07:45:00,256.0
2018-09-25 11:50:00,2018-09-25,11:50:00,2018-09-25 12:25:00,35.0
2018-09-25 14:40:00,2018-09-25,14:40:00,2018-09-25 15:10:00,30.0
2018-09-25 19:24:00,2018-09-25,19:24:00,2018-09-26 00:58:00,334.0
2018-09-26 01:19:00,2018-09-26,01:19:00,2018-09-26 03:29:00,130.0
2018-09-26 03:41:00,2018-09-26,03:41:00,2018-09-26 05:58:00,137.0
2018-09-26 09:36:00,2018-09-26,09:36:00,2018-09-26 12:44:00,188.0
2018-09-26 18:43:00,2018-09-26,18:43:00,2018-09-26 21:40:00,177.0
2018-09-26 21:53:00,2018-09-26,21:53:00,2018-09-27 01:16:00,203.0
2018-09-27 03:30:00,2018-09-27,03:30:00,2018-09-27 06:46:00,196.0
2018-09-27 10:32:00,2018-09-27,10:32:00,2018-09-27 11:25:00,53.0
2018-09-27 17:58:00,2018-09-27,17:58:00,2018-09-27 18:35:00,37.0
2018-09-27 18:53:00,2018-09-27,18:53:00,2018-09-27 20:10:00,77.0
2018-09-27 20:18:00,2018-09-27,20:18:00,2018-09-27 23:00:00,162.0
2018-09-27 23:11:00,2018-09-27,23:11:00,2018-09-28 02:01:00,170.0
2018-09-28 02:14:00,2018-09-28,02:14:00,2018-09-28 04:25:00,131.0
2018-09-28 04:34:00,2018-09-28,04:34:00,2018-09-28 06:58:00,144.0
2018-09-28 10:32:00,2018-09-28,10:32:00,2018-09-28 10:52:00,20.0
2018-09-28 13:05:00,2018-09-28,13:05:00,2018-09-28 13:45:00,40.0
2018-09-28 19:01:00,2018-09-28,19:01:00,2018-09-28 23:17:00,256.0
2018-09-28 23:39:00,2018-09-28,23:39:00,2018-09-29 02:12:00,153.0
2018-09-29 02:27:00,2018-09-29,02:27:00,2018-09-29 02:44:00,17.0
2018-09-29 03:00:00,2018-09-29,03:00:00,2018-09-29 06:15:00,195.0
2018-09-29 10:10:00,2018-09-29,10:10:00,2018-09-29 11:18:00,68.0
2018-09-29 18:18:00,2018-09-29,18:18:00,2018-09-29 19:41:00,83.0
2018-09-29 19:51:00,2018-09-29,19:51:00,2018-09-29 21:59:00,128.0
2018-09-29 22:12:00,2018-09-29,22:12:00,2018-09-30 01:42:00,210.0
2018-09-30 01:57:00,2018-09-30,01:57:00,2018-09-30 04:59:00,182.0
2018-09-30 05:18:00,2018-09-30,05:18:00,2018-09-30 06:25:00,67.0
2018-09-30 10:50:00,2018-09-30,10:50:00,2018-09-30 12:31:00,101.0
2018-09-30 19:03:00,2018-09-30,19:03:00,2018-09-30 22:11:00,188.0
2018-09-30 23:53:00,2018-09-30,23:53:00,2018-10-01 03:06:00,193.0
2018-10-01 03:26:00,2018-10-01,03:26:00,2018-10-01 05:44:00,138.0
2018-10-01 09:32:00,2018-10-01,09:32:00,2018-10-01 09:58:00,26.0
2018-10-01 12:59:00,2018-10-01,12:59:00,2018-10-01 13:37:00,38.0
2018-10-01 18:54:00,2018-10-01,18:54:00,2018-10-01 19:33:00,39.0
2018-10-01 19:51:00,2018-10-01,19:51:00,2018-10-02 01:42:00,351.0
2018-10-02 02:10:00,2018-10-02,02:10:00,2018-10-02 05:56:00,226.0
2018-10-02 10:24:00,2018-10-02,10:24:00,2018-10-02 12:24:00,120.0
2018-10-02 16:40:00,2018-10-02,16:40:00,2018-10-02 17:12:00,32.0
2018-10-02 20:17:00,2018-10-02,20:17:00,2018-10-02 21:55:00,98.0
2018-10-02 22:08:00,2018-10-02,22:08:00,2018-10-03 01:45:00,217.0
2018-10-03 02:06:00,2018-10-03,02:06:00,2018-10-03 05:31:00,205.0
2018-10-03 12:00:00,2018-10-03,12:00:00,2018-10-03 13:39:00,99.0
2018-10-03 18:32:00,2018-10-03,18:32:00,2018-10-03 21:47:00,195.0
2018-10-03 21:54:00,2018-10-03,21:54:00,2018-10-03 23:29:00,95.0
2018-10-03 23:44:00,2018-10-03,23:44:00,2018-10-04 05:05:00,321.0
2018-10-04 15:30:00,2018-10-04,15:30:00,2018-10-04 16:10:00,40.0
2018-10-04 19:40:00,2018-10-04,19:40:00,2018-10-04 22:18:00,158.0
2018-10-04 22:28:00,2018-10-04,22:28:00,2018-10-05 04:18:00,350.0
2018-10-05 04:31:00,2018-10-05,04:31:00,2018-10-05 06:17:00,106.0
2018-10-05 12:38:00,2018-10-05,12:38:00,2018-10-05 14:38:00,120.0
2018-10-05 19:05:00,2018-10-05,19:05:00,2018-10-05 22:48:00,223.0
2018-10-05 22:58:00,2018-10-05,22:58:00,2018-10-06 01:53:00,175.0
2018-10-06 02:13:00,2018-10-06,02:13:00,2018-10-06 05:52:00,219.0
2018-10-06 10:22:00,2018-10-06,10:22:00,2018-10-06 12:00:00,98.0
2018-10-06 18:33:00,2018-10-06,18:33:00,2018-10-06 19:00:00,27.0
2018-10-06 19:08:00,2018-10-06,19:08:00,2018-10-06 22:28:00,200.0
2018-10-06 23:00:00,2018-10-06,23:00:00,2018-10-07 02:33:00,213.0
2018-10-07 02:45:00,2018-10-07,02:45:00,2018-10-07 04:31:00,106.0
2018-10-07 04:39:00,2018-10-07,04:39:00,2018-10-07 06:53:00,134.0
2018-10-07 20:36:00,2018-10-07,20:36:00,2018-10-07 21:20:00,44.0
2018-10-07 21:27:00,2018-10-07,21:27:00,2018-10-08 00:22:00,175.0
2018-10-08 00:35:00,2018-10-08,00:35:00,2018-10-08 03:06:00,151.0
2018-10-08 03:23:00,2018-10-08,03:23:00,2018-10-08 06:16:00,173.0
2018-10-08 09:45:00,2018-10-08,09:45:00,2018-10-08 10:15:00,30.0
2018-10-08 13:30:00,2018-10-08,13:30:00,2018-10-08 14:00:00,30.0
2018-10-08 18:11:00,2018-10-08,18:11:00,2018-10-08 19:29:00,78.0
2018-10-08 19:32:00,2018-10-08,19:32:00,2018-10-08 19:41:00,9.0
2018-10-08 19:47:00,2018-10-08,19:47:00,2018-10-08 20:01:00,14.0
2018-10-08 20:07:00,2018-10-08,20:07:00,2018-10-08 21:53:00,106.0
2018-10-08 22:06:00,2018-10-08,22:06:00,2018-10-09 00:28:00,142.0
2018-10-09 00:42:00,2018-10-09,00:42:00,2018-10-09 03:17:00,155.0
2018-10-09 03:22:00,2018-10-09,03:22:00,2018-10-09 05:51:00,149.0
2018-10-09 12:10:00,2018-10-09,12:10:00,2018-10-09 13:26:00,76.0
2018-10-09 20:48:00,2018-10-09,20:48:00,2018-10-10 01:27:00,279.0
2018-10-10 01:36:00,2018-10-10,01:36:00,2018-10-10 05:31:00,235.0
2018-10-10 09:10:00,2018-10-10,09:10:00,2018-10-10 09:50:00,40.0
2018-10-10 14:43:00,2018-10-10,14:43:00,2018-10-10 16:17:00,94.0
2018-10-10 19:38:00,2018-10-10,19:38:00,2018-10-11 05:24:00,586.0
2018-10-11 09:10:00,2018-10-11,09:10:00,2018-10-11 09:45:00,35.0
2018-10-11 12:30:00,2018-10-11,12:30:00,2018-10-11 13:40:00,70.0
2018-10-11 19:11:00,2018-10-11,19:11:00,2018-10-12 05:00:00,589.0
2018-10-12 11:30:00,2018-10-12,11:30:00,2018-10-12 12:45:00,75.0
2018-10-12 15:20:00,2018-10-12,15:20:00,2018-10-12 16:10:00,50.0
2018-10-12 20:08:00,2018-10-12,20:08:00,2018-10-13 02:00:00,352.0
2018-10-13 02:21:00,2018-10-13,02:21:00,2018-10-13 06:32:00,251.0
2018-10-13 10:37:00,2018-10-13,10:37:00,2018-10-13 12:50:00,133.0
2018-10-13 18:53:00,2018-10-13,18:53:00,2018-10-14 00:05:00,312.0
2018-10-14 01:55:00,2018-10-14,01:55:00,2018-10-14 05:05:00,190.0
2018-10-14 05:26:00,2018-10-14,05:26:00,2018-10-14 08:11:00,165.0
2018-10-14 12:09:00,2018-10-14,12:09:00,2018-10-14 14:47:00,158.0
2018-10-14 18:30:00,2018-10-14,18:30:00,2018-10-14 21:13:00,163.0
2018-10-14 21:29:00,2018-10-14,21:29:00,2018-10-14 23:08:00,99.0
2018-10-14 23:15:00,2018-10-14,23:15:00,2018-10-15 01:23:00,128.0
2018-10-15 02:50:00,2018-10-15,02:50:00,2018-10-15 06:10:00,200.0
2018-10-15 11:19:00,2018-10-15,11:19:00,2018-10-15 12:23:00,64.0
2018-10-15 18:45:00,2018-10-15,18:45:00,2018-10-15 23:29:00,284.0
2018-10-15 23:30:00,2018-10-15,23:30:00,2018-10-16 02:15:00,165.0
2018-10-16 02:30:00,2018-10-16,02:30:00,2018-10-16 04:45:00,135.0
