Date and Time,Date,Time,Activity,Duration
2015-01-25 10:58:00,2015-01-25,10:58:00,Sleep,61.0
2015-01-25 12:30:00,2015-01-25,12:30:00,Sleep,129.0
2015-01-25 15:10:00,2015-01-25,15:10:00,Sleep,110.0
2015-01-25 17:52:00,2015-01-25,17:52:00,Sleep,248.0
2015-01-25 23:10:00,2015-01-25,23:10:00,Sleep,152.0
2015-01-26 02:15:00,2015-01-26,02:15:00,Sleep,174.0
2015-01-26 05:52:00,2015-01-26,05:52:00,Sleep,147.0
2015-01-26 09:30:00,2015-01-26,09:30:00,Sleep,69.0
2015-01-26 11:40:00,2015-01-26,11:40:00,Sleep,90.0
2015-01-26 15:15:00,2015-01-26,15:15:00,Sleep,44.0
2015-01-26 19:50:00,2015-01-26,19:50:00,Sleep,99.0
2015-01-26 22:47:00,2015-01-26,22:47:00,Sleep,337.0
2015-01-27 05:03:00,2015-01-27,05:03:00,Sleep,134.0
2015-01-27 10:40:00,2015-01-27,10:40:00,Sleep,59.0
2015-01-27 11:54:00,2015-01-27,11:54:00,Sleep,66.0
2015-01-27 13:45:00,2015-01-27,13:45:00,Sleep,85.0
2015-01-27 16:00:00,2015-01-27,16:00:00,Sleep,105.0
2015-01-27 21:25:00,2015-01-27,21:25:00,Sleep,345.0
2015-01-28 03:45:00,2015-01-28,03:45:00,Sleep,154.0
2015-01-28 06:57:00,2015-01-28,06:57:00,Sleep,146.0
2015-01-28 11:00:00,2015-01-28,11:00:00,Sleep,55.0
2015-01-28 17:15:00,2015-01-28,17:15:00,Sleep,60.0
2015-01-28 21:49:00,2015-01-28,21:49:00,Sleep,352.0
2015-01-29 04:26:00,2015-01-29,04:26:00,Sleep,177.0
2015-01-29 07:56:00,2015-01-29,07:56:00,Sleep,84.0
2015-01-29 11:40:00,2015-01-29,11:40:00,Sleep,110.0
2015-01-29 14:10:00,2015-01-29,14:10:00,Sleep,144.0
2015-01-29 20:38:00,2015-01-29,20:38:00,Sleep,331.0
2015-01-30 02:39:00,2015-01-30,02:39:00,Sleep,201.0
2015-01-30 07:10:00,2015-01-30,07:10:00,Sleep,117.0
2015-01-30 11:13:00,2015-01-30,11:13:00,Sleep,66.0
