,Date,Time,Finish,Duration
2015-12-28 18:43:00,2015-12-28,18:43:00,2015-12-28 22:26:00,223.0
2015-12-28 22:36:00,2015-12-28,22:36:00,2015-12-28 22:55:00,19.0
2015-12-28 22:56:00,2015-12-28,22:56:00,2015-12-29 00:52:00,116.0
2015-12-29 01:21:00,2015-12-29,01:21:00,2015-12-29 03:40:00,139.0
2015-12-29 03:50:00,2015-12-29,03:50:00,2015-12-29 06:30:00,160.0
2015-12-29 10:00:00,2015-12-29,10:00:00,2015-12-29 10:30:00,30.0
2015-12-29 15:06:00,2015-12-29,15:06:00,2015-12-29 16:19:00,73.0
2015-12-29 19:25:00,2015-12-29,19:25:00,2015-12-30 02:02:00,397.0
2015-12-30 02:27:00,2015-12-30,02:27:00,2015-12-30 05:35:00,188.0
2015-12-30 06:00:00,2015-12-30,06:00:00,2015-12-30 06:30:00,30.0
2015-12-30 09:29:00,2015-12-30,09:29:00,2015-12-30 11:29:00,120.0
2015-12-30 17:36:00,2015-12-30,17:36:00,2015-12-30 18:15:00,39.0
2015-12-30 18:30:00,2015-12-30,18:30:00,2015-12-30 22:31:00,241.0
2015-12-30 22:50:00,2015-12-30,22:50:00,2015-12-30 23:38:00,48.0
2015-12-31 00:03:00,2015-12-31,00:03:00,2015-12-31 05:28:00,325.0
2015-12-31 09:57:00,2015-12-31,09:57:00,2015-12-31 11:17:00,80.0
2015-12-31 17:07:00,2015-12-31,17:07:00,2015-12-31 17:47:00,40.0
2015-12-31 19:53:00,2015-12-31,19:53:00,2016-01-01 05:02:00,549.0
2016-01-01 09:02:00,2016-01-01,09:02:00,2016-01-01 09:36:00,34.0
2016-01-01 15:11:00,2016-01-01,15:11:00,2016-01-01 15:41:00,30.0
2016-01-01 18:58:00,2016-01-01,18:58:00,2016-01-01 21:34:00,156.0
2016-01-01 21:45:00,2016-01-01,21:45:00,2016-01-02 02:00:00,255.0
2016-01-02 03:04:00,2016-01-02,03:04:00,2016-01-02 05:55:00,171.0
2016-01-02 08:56:00,2016-01-02,08:56:00,2016-01-02 09:36:00,40.0
2016-01-02 13:46:00,2016-01-02,13:46:00,2016-01-02 14:23:00,37.0
2016-01-02 18:04:00,2016-01-02,18:04:00,2016-01-03 00:55:00,411.0
2016-01-03 01:11:00,2016-01-03,01:11:00,2016-01-03 05:22:00,251.0
2016-01-03 09:07:00,2016-01-03,09:07:00,2016-01-03 11:26:00,139.0
2016-01-03 14:56:00,2016-01-03,14:56:00,2016-01-03 15:28:00,32.0
2016-01-03 18:26:00,2016-01-03,18:26:00,2016-01-03 22:34:00,248.0
2016-01-03 22:58:00,2016-01-03,22:58:00,2016-01-04 04:21:00,323.0
2016-01-04 05:13:00,2016-01-04,05:13:00,2016-01-04 07:00:00,107.0
2016-01-04 10:56:00,2016-01-04,10:56:00,2016-01-04 11:26:00,30.0
2016-01-04 14:30:00,2016-01-04,14:30:00,2016-01-04 15:00:00,30.0
2016-01-04 17:53:00,2016-01-04,17:53:00,2016-01-04 21:29:00,216.0
2016-01-04 21:47:00,2016-01-04,21:47:00,2016-01-04 23:57:00,130.0
2016-01-05 00:16:00,2016-01-05,00:16:00,2016-01-05 03:16:00,180.0
2016-01-05 03:36:00,2016-01-05,03:36:00,2016-01-05 05:43:00,127.0
2016-01-05 08:42:00,2016-01-05,08:42:00,2016-01-05 09:14:00,32.0
2016-01-05 15:14:00,2016-01-05,15:14:00,2016-01-05 15:39:00,25.0
2016-01-05 18:06:00,2016-01-05,18:06:00,2016-01-05 19:37:00,91.0
2016-01-05 19:41:00,2016-01-05,19:41:00,2016-01-06 02:01:00,380.0
2016-01-06 02:15:00,2016-01-06,02:15:00,2016-01-06 03:21:00,66.0
2016-01-06 03:42:00,2016-01-06,03:42:00,2016-01-06 05:34:00,112.0
2016-01-06 08:30:00,2016-01-06,08:30:00,2016-01-06 10:55:00,145.0
2016-01-06 17:07:00,2016-01-06,17:07:00,2016-01-06 20:21:00,194.0
2016-01-06 20:37:00,2016-01-06,20:37:00,2016-01-07 00:58:00,261.0
2016-01-07 01:15:00,2016-01-07,01:15:00,2016-01-07 01:22:00,7.0
2016-01-07 02:14:00,2016-01-07,02:14:00,2016-01-07 05:24:00,190.0
2016-01-07 10:38:00,2016-01-07,10:38:00,2016-01-07 12:56:00,138.0
2016-01-07 17:48:00,2016-01-07,17:48:00,2016-01-08 00:36:00,408.0
2016-01-08 02:08:00,2016-01-08,02:08:00,2016-01-08 02:52:00,44.0
2016-01-08 03:30:00,2016-01-08,03:30:00,2016-01-08 04:30:00,60.0
2016-01-08 08:43:00,2016-01-08,08:43:00,2016-01-08 10:07:00,84.0
2016-01-08 14:06:00,2016-01-08,14:06:00,2016-01-08 14:43:00,37.0
2016-01-08 18:09:00,2016-01-08,18:09:00,2016-01-08 22:36:00,267.0
2016-01-08 23:17:00,2016-01-08,23:17:00,2016-01-09 04:42:00,325.0
2016-01-09 09:29:00,2016-01-09,09:29:00,2016-01-09 11:43:00,134.0
2016-01-09 15:55:00,2016-01-09,15:55:00,2016-01-09 16:25:00,30.0
2016-01-09 19:45:00,2016-01-09,19:45:00,2016-01-10 01:53:00,368.0
2016-01-10 02:16:00,2016-01-10,02:16:00,2016-01-10 05:29:00,193.0
2016-01-10 09:55:00,2016-01-10,09:55:00,2016-01-10 12:19:00,144.0
2016-01-10 18:58:00,2016-01-10,18:58:00,2016-01-11 01:18:00,380.0
2016-01-11 01:38:00,2016-01-11,01:38:00,2016-01-11 04:39:00,181.0
2016-01-11 07:43:00,2016-01-11,07:43:00,2016-01-11 10:07:00,144.0
2016-01-11 18:02:00,2016-01-11,18:02:00,2016-01-11 22:36:00,274.0
2016-01-11 22:51:00,2016-01-11,22:51:00,2016-01-12 05:39:00,408.0
2016-01-12 10:08:00,2016-01-12,10:08:00,2016-01-12 11:14:00,66.0
2016-01-12 17:53:00,2016-01-12,17:53:00,2016-01-13 00:05:00,372.0
2016-01-13 00:23:00,2016-01-13,00:23:00,2016-01-13 04:14:00,231.0
2016-01-13 08:30:00,2016-01-13,08:30:00,2016-01-13 09:47:00,77.0
2016-01-13 15:44:00,2016-01-13,15:44:00,2016-01-13 16:16:00,32.0
2016-01-13 18:50:00,2016-01-13,18:50:00,2016-01-14 04:09:00,559.0
2016-01-14 04:40:00,2016-01-14,04:40:00,2016-01-14 06:44:00,124.0
2016-01-14 11:20:00,2016-01-14,11:20:00,2016-01-14 13:30:00,130.0
